scenario,region,variable,year,value,index
SSP1,East Asia,GDP|PPP,1950,13995.11652941554,0.09540061273987681
SSP1,East Asia,GDP|PPP,1951,13995.11652941554,0.09540061273987681
SSP1,East Asia,GDP|PPP,1952,13995.11652941554,0.09540061273987681
SSP1,East Asia,GDP|PPP,1953,13995.11652941554,0.09540061273987681
SSP1,East Asia,GDP|PPP,1954,13995.11652941554,0.09540061273987681
SSP1,East Asia,GDP|PPP,1955,13995.11652941554,0.09540061273987681
SSP1,East Asia,GDP|PPP,1956,13995.11652941554,0.09540061273987681
SSP1,East Asia,GDP|PPP,1957,13995.11652941554,0.09540061273987681
SSP1,East Asia,GDP|PPP,1958,13995.11652941554,0.09540061273987681
SSP1,East Asia,GDP|PPP,1959,13995.11652941554,0.09540061273987681
SSP1,East Asia,GDP|PPP,1960,13995.11652941554,0.09540061273987681
SSP1,East Asia,GDP|PPP,1961,13995.11652941554,0.09540061273987681
SSP1,East Asia,GDP|PPP,1962,13995.11652941554,0.09540061273987681
SSP1,East Asia,GDP|PPP,1963,13995.11652941554,0.09540061273987681
SSP1,East Asia,GDP|PPP,1964,13995.11652941554,0.09540061273987681
SSP1,East Asia,GDP|PPP,1965,13995.11652941554,0.09540061273987681
SSP1,East Asia,GDP|PPP,1966,13995.11652941554,0.09540061273987681
SSP1,East Asia,GDP|PPP,1967,13995.11652941554,0.09540061273987681
SSP1,East Asia,GDP|PPP,1968,13995.11652941554,0.09540061273987681
SSP1,East Asia,GDP|PPP,1969,13995.11652941554,0.09540061273987681
SSP1,East Asia,GDP|PPP,1970,13995.11652941554,0.09540061273987681
SSP1,East Asia,GDP|PPP,1971,13995.11652941554,0.09540061273987681
SSP1,East Asia,GDP|PPP,1972,13995.11652941554,0.09540061273987681
SSP1,East Asia,GDP|PPP,1973,13995.11652941554,0.09540061273987681
SSP1,East Asia,GDP|PPP,1974,13995.11652941554,0.09540061273987681
SSP1,East Asia,GDP|PPP,1975,13995.11652941554,0.09540061273987681
SSP1,East Asia,GDP|PPP,1976,13995.11652941554,0.09540061273987681
SSP1,East Asia,GDP|PPP,1977,13995.11652941554,0.09540061273987681
SSP1,East Asia,GDP|PPP,1978,13995.11652941554,0.09540061273987681
SSP1,East Asia,GDP|PPP,1979,13995.11652941554,0.09540061273987681
SSP1,East Asia,GDP|PPP,1980,13995.11652941554,0.09540061273987681
SSP1,East Asia,GDP|PPP,1981,14891.179781423707,0.10150881363378075
SSP1,East Asia,GDP|PPP,1982,15787.243033431876,0.1076170145276847
SSP1,East Asia,GDP|PPP,1983,16683.306285440045,0.11372521542158864
SSP1,East Asia,GDP|PPP,1984,17579.369537448212,0.11983341631549259
SSP1,East Asia,GDP|PPP,1985,18475.43278945638,0.12594161720939653
SSP1,East Asia,GDP|PPP,1986,20096.674029027567,0.13699314417090214
SSP1,East Asia,GDP|PPP,1987,21717.915268598757,0.14804467113240777
SSP1,East Asia,GDP|PPP,1988,23339.156508169945,0.1590961980939134
SSP1,East Asia,GDP|PPP,1989,24960.39774774113,0.170147725055419
SSP1,East Asia,GDP|PPP,1990,26581.63898731232,0.1811992520169246
SSP1,East Asia,GDP|PPP,1991,28224.996583912998,0.19240153971041501
SSP1,East Asia,GDP|PPP,1992,29868.354180513677,0.20360382740390545
SSP1,East Asia,GDP|PPP,1993,31511.711777114353,0.21480611509739586
SSP1,East Asia,GDP|PPP,1994,33155.069373715036,0.2260084027908863
SSP1,East Asia,GDP|PPP,1995,34798.42697031571,0.23721069048437668
SSP1,East Asia,GDP|PPP,1996,36405.56366242861,0.24816607087453285
SSP1,East Asia,GDP|PPP,1997,38012.70035454151,0.259121451264689
SSP1,East Asia,GDP|PPP,1998,39619.83704665441,0.27007683165484514
SSP1,East Asia,GDP|PPP,1999,41226.97373876731,0.28103221204500134
