Region,year,GDP_2015USD
East Asia,1970,2061385655973.2402
East Asia,1971,2175524026466.148
East Asia,1972,2343969112702.8467
East Asia,1973,2541898043494.4395
East Asia,1974,2552924548765.7607
East Asia,1975,2656200060150.8804
East Asia,1976,2776034765675.0825
East Asia,1977,2933787361810.0684
East Asia,1978,3128531021761.3555
East Asia,1979,3324277567879.0527
East Asia,1980,3453618967809.7437
East Asia,1981,3619454348068.2993
East Asia,1982,3776852255430.6
East Asia,1983,3977353293312.022
East Asia,1984,4231818206965.5225
East Asia,1985,4486005475080.566
East Asia,1986,4718433163095.033
East Asia,1987,5076836645362.992
East Asia,1988,5482922210662.236
East Asia,1989,5774505678127.09
East Asia,1990,6178599966913.754
East Asia,1991,6500555339958.018
East Asia,1992,6787181824648.523
East Asia,1993,7059962191009.819
East Asia,1994,7420603598344.784
East Asia,1995,7845733890327.754
East Asia,1996,8299989012174.364
East Asia,1997,8642633017652.52
East Asia,1998,8652917049935.632
East Asia,1999,8971737796030.39
East Asia,2000,9480292586615.059
East Asia,2001,9813032407511.047
East Asia,2002,10256967058988.848
East Asia,2003,10790556598752.93
East Asia,2004,11449392595159.637
East Asia,2005,12167905539236.322
East Asia,2006,13005640155479.396
East Asia,2007,14028351488825.73
East Asia,2008,14670456066205.07
East Asia,2009,15068976308897.17
East Asia,2010,16290073248464.773
East Asia,2011,17225825880439.34
East Asia,2012,18145076177873.684
East Asia,2013,19144942357002.43
East Asia,2014,20096021219193.715
East Asia,2015,21076303720379.35
East Asia,2016,22080226022912.95
East Asia,2017,23238082339324.484
East Asia,2018,24382591952355.867
East Asia,2019,25404239111420.91
East Asia,2020,25391553264023.223
East Asia,2021,27069887616222.57
East Asia,2022,27867903691817.4
East Asia,2023,29062402999822.11
East Asia,2024,30219179143537.055
Europe & Russia,1970,7806309876409.77
Europe & Russia,1971,8077176917095.74
Europe & Russia,1972,8445390797540.139
Europe & Russia,1973,8951545359316.406
Europe & Russia,1974,9159252555452.9375
Europe & Russia,1975,9096514907053.395
Europe & Russia,1976,9495499328808.53
Europe & Russia,1977,9767969546211.285
Europe & Russia,1978,10059361598396.883
Europe & Russia,1979,10417696150603.014
Europe & Russia,1980,10570380626244.16
Europe & Russia,1981,10616175165149.03
Europe & Russia,1982,10718395403044.982
Europe & Russia,1983,10917466763297.744
Europe & Russia,1984,11215193362300.766
Europe & Russia,1985,11508952312966.736
Europe & Russia,1986,11838981789573.094
Europe & Russia,1987,12153455178909.053
Europe & Russia,1988,12648853069868.955
Europe & Russia,1989,13092830312395.44
Europe & Russia,1990,13273170817060.367
Europe & Russia,1991,13311710706004.643
Europe & Russia,1992,13257771873051.486
Europe & Russia,1993,13188405530464.094
Europe & Russia,1994,13392659911167.58
Europe & Russia,1995,13714331941559.24
Europe & Russia,1996,13962806288914.941
Europe & Russia,1997,14395150505973.205
Europe & Russia,1998,14766997060591.48
Europe & Russia,1999,15193624468144.559
