year,GDP_2015USD
1970,18403657384079.793
1971,19163968150734.363
1972,20215044535119.676
1973,21510649560387.02
1974,21944251246916.9
1975,22063206682423.906
1976,23196817197552.76
1977,24107756880276.37
1978,25077034591013.035
1979,26101985546555.008
1980,26582427967802.516
1981,27062645450099.383
1982,27174075718085.207
1983,27856319641605.207
1984,29127057579290.17
1985,30176784872502.13
1986,31159376456023.27
1987,32301340669856.367
1988,33754241371825.145
1989,34988153261116.81
1990,35945112749872.04
1991,36390271388495.56
1992,37147691033440.4
1993,37849022534314.836
1994,39133061711480.26
1995,40371224342228.46
1996,41821853844497.766
1997,43480395901134.79
1998,44711435745869.53
1999,46311537583958.93
2000,48421043892523.14
2001,49408513482378.195
2002,50550944627009.164
2003,52114998597770.336
2004,54461508280519.03
2005,56669988984648.34
2006,59207154988653.28
2007,61821148327614.9
2008,63115516384571.81
2009,62283429813557.69
2010,65101770588728.36
2011,67275903400239.58
2012,69113747420160.875
2013,71110238204724.27
2014,73338410257622.55
2015,75622285112456.48
2016,77735214148280.66
2017,80418860929933.86
2018,83052051994076.56
2019,85277409613470.11
2020,82805643621475.84
2021,88116274361267.56
2022,91114801525060.66
2023,93801600586590.6
2024,96495444644594.03
