Region,year,material_category,DMC_Mt
East Asia,1970,Coal,473.90299999999996
East Asia,1970,Crop Residues,591.160504
East Asia,1970,Crops,728.512616
East Asia,1970,Excavated earthen materials (including soil) nec,0
East Asia,1970,Ferrous ores,161.999312
East Asia,1970,Grazed biomass and fodder crops,664.247005
East Asia,1970,Mixed / complex products nec.,-0.768267
East Asia,1970,Natural Gas,5.758614000000001
East Asia,1970,Non-ferrous ores,162.879993
East Asia,1970,Non-metallic minerals - construction dominant,1337.208045
East Asia,1970,Non-metallic minerals - industrial or agricultural dominant,51.020702
East Asia,1970,Non-wild animal products,1.688719
East Asia,1970,Other products mainly from fossil fuels e.g. plastics,-1.973879
East Asia,1970,Petroleum,89.5331
East Asia,1970,Products mainly from biomass nec.,-1.14731
East Asia,1970,Products mainly from metals nec.,-5.426365
East Asia,1970,Products mainly from non-metallic minerals,1.669896
East Asia,1970,Refined fossil fuels mainly for fuel e.g. LPG gasoline diesel,8.516
East Asia,1970,Waste for final treatment and disposal,-0.042973
East Asia,1970,Wild catch and harvest,10.656534
East Asia,1970,Wood,494.484109
East Asia,1971,Coal,472.211
East Asia,1971,Crop Residues,606.017386
East Asia,1971,Crops,737.35625
East Asia,1971,Excavated earthen materials (including soil) nec,0
East Asia,1971,Ferrous ores,161.37873100000002
East Asia,1971,Grazed biomass and fodder crops,673.904996
East Asia,1971,Mixed / complex products nec.,-1.039527
East Asia,1971,Natural Gas,6.650118
East Asia,1971,Non-ferrous ores,179.351361
East Asia,1971,Non-metallic minerals - construction dominant,1525.6167309999998
East Asia,1971,Non-metallic minerals - industrial or agricultural dominant,54.693465
East Asia,1971,Non-wild animal products,1.670198
East Asia,1971,Other products mainly from fossil fuels e.g. plastics,-1.961584
East Asia,1971,Petroleum,104.972
East Asia,1971,Products mainly from biomass nec.,-1.480878
East Asia,1971,Products mainly from metals nec.,-4.758077
East Asia,1971,Products mainly from non-metallic minerals,-0.5351289999999997
East Asia,1971,Refined fossil fuels mainly for fuel e.g. LPG gasoline diesel,2.005
East Asia,1971,Waste for final treatment and disposal,-0.019527
East Asia,1971,Wild catch and harvest,11.173785
East Asia,1971,Wood,495.081846
East Asia,1972,Coal,484.034
East Asia,1972,Crop Residues,583.9267510000001
East Asia,1972,Crops,729.244561
East Asia,1972,Excavated earthen materials (including soil) nec,0
East Asia,1972,Ferrous ores,164.55588
East Asia,1972,Grazed biomass and fodder crops,679.002916
East Asia,1972,Mixed / complex products nec.,-0.972861
East Asia,1972,Natural Gas,7.47059
East Asia,1972,Non-ferrous ores,210.90356300000002
East Asia,1972,Non-metallic minerals - construction dominant,1656.453265
East Asia,1972,Non-metallic minerals - industrial or agricultural dominant,55.854507000000005
East Asia,1972,Non-wild animal products,1.8685169999999998
East Asia,1972,Other products mainly from fossil fuels e.g. plastics,-1.902321
East Asia,1972,Petroleum,119.324
East Asia,1972,Products mainly from biomass nec.,-1.9267509999999999
East Asia,1972,Products mainly from metals nec.,-5.805625
East Asia,1972,Products mainly from non-metallic minerals,0.718434
East Asia,1972,Refined fossil fuels mainly for fuel e.g. LPG gasoline diesel,-1.3730000000000002
East Asia,1972,Waste for final treatment and disposal,0.011517000000000001
East Asia,1972,Wild catch and harvest,11.952078
East Asia,1972,Wood,506.037217
East Asia,1973,Coal,547.483
East Asia,1973,Crop Residues,657.423235
East Asia,1973,Crops,818.340592
East Asia,1973,Excavated earthen materials (including soil) nec,0
East Asia,1973,Ferrous ores,182.65919
East Asia,1973,Grazed biomass and fodder crops,679.925928
East Asia,1973,Mixed / complex products nec.,-1.055333
East Asia,1973,Natural Gas,10.740591
East Asia,1973,Non-ferrous ores,215.037039
East Asia,1973,Non-metallic minerals - construction dominant,1805.311237
East Asia,1973,Non-metallic minerals - industrial or agricultural dominant,59.190476000000004
East Asia,1973,Non-wild animal products,2.011849
East Asia,1973,Other products mainly from fossil fuels e.g. plastics,-1.2465340000000003
East Asia,1973,Petroleum,382.345
East Asia,1973,Products mainly from biomass nec.,-0.9995349999999998
East Asia,1973,Products mainly from metals nec.,-6.886366
East Asia,1973,Products mainly from non-metallic minerals,1.668134
East Asia,1973,Refined fossil fuels mainly for fuel e.g. LPG gasoline diesel,19.302
East Asia,1973,Waste for final treatment and disposal,1.6499999999999967e-4
East Asia,1973,Wild catch and harvest,12.653472
East Asia,1973,Wood,517.0424
East Asia,1974,Coal,550.826
East Asia,1974,Crop Residues,671.527346
East Asia,1974,Crops,824.583306
East Asia,1974,Excavated earthen materials (including soil) nec,0
East Asia,1974,Ferrous ores,187.931314
East Asia,1974,Grazed biomass and fodder crops,686.99397
East Asia,1974,Mixed / complex products nec.,-1.376401
East Asia,1974,Natural Gas,13.49033
East Asia,1974,Non-ferrous ores,218.96794599999998
East Asia,1974,Non-metallic minerals - construction dominant,1764.916055
East Asia,1974,Non-metallic minerals - industrial or agricultural dominant,70.666116
East Asia,1974,Non-wild animal products,1.7191020000000001
East Asia,1974,Other products mainly from fossil fuels e.g. plastics,-1.5739500000000002
East Asia,1974,Petroleum,382.135
East Asia,1974,Products mainly from biomass nec.,-0.4926120000000001
East Asia,1974,Products mainly from metals nec.,-9.273532
East Asia,1974,Products mainly from non-metallic minerals,-0.7449370000000004
East Asia,1974,Refined fossil fuels mainly for fuel e.g. LPG gasoline diesel,17.964000000000002
East Asia,1974,Waste for final treatment and disposal,-0.014076
East Asia,1974,Wild catch and harvest,12.442618
East Asia,1974,Wood,517.879333
East Asia,1975,Coal,620.069
East Asia,1975,Crop Residues,703.07002
East Asia,1975,Crops,847.916259
East Asia,1975,Excavated earthen materials (including soil) nec,0
East Asia,1975,Ferrous ores,183.506866
East Asia,1975,Grazed biomass and fodder crops,683.470433
East Asia,1975,Mixed / complex products nec.,-1.206054
East Asia,1975,Natural Gas,16.304791
East Asia,1975,Non-ferrous ores,220.721362
East Asia,1975,Non-metallic minerals - construction dominant,1746.204706
East Asia,1975,Non-metallic minerals - industrial or agricultural dominant,74.792646
East Asia,1975,Non-wild animal products,1.94191
East Asia,1975,Other products mainly from fossil fuels e.g. plastics,-1.8521330000000003
East Asia,1975,Petroleum,370.004
East Asia,1975,Products mainly from biomass nec.,-1.326892
East Asia,1975,Products mainly from metals nec.,-8.333419000000001
East Asia,1975,Products mainly from non-metallic minerals,-4.675567999999999
East Asia,1975,Refined fossil fuels mainly for fuel e.g. LPG gasoline diesel,20.401
East Asia,1975,Waste for final treatment and disposal,0.012033000000000002
East Asia,1975,Wild catch and harvest,12.706107000000001
East Asia,1975,Wood,512.714805
East Asia,1976,Coal,622.755
East Asia,1976,Crop Residues,716.6755029999999
East Asia,1976,Crops,864.822636
East Asia,1976,Excavated earthen materials (including soil) nec,0
East Asia,1976,Ferrous ores,176.482081
East Asia,1976,Grazed biomass and fodder crops,678.7301160000001
East Asia,1976,Mixed / complex products nec.,-1.783595
East Asia,1976,Natural Gas,18.782322999999998
East Asia,1976,Non-ferrous ores,230.688659
East Asia,1976,Non-metallic minerals - construction dominant,1961.134495
East Asia,1976,Non-metallic minerals - industrial or agricultural dominant,72.358079
East Asia,1976,Non-wild animal products,2.2609369999999998
East Asia,1976,Other products mainly from fossil fuels e.g. plastics,-1.814569
East Asia,1976,Petroleum,400.805
East Asia,1976,Products mainly from biomass nec.,-2.156362
East Asia,1976,Products mainly from metals nec.,-13.139028
East Asia,1976,Products mainly from non-metallic minerals,-5.536587
East Asia,1976,Refined fossil fuels mainly for fuel e.g. LPG gasoline diesel,26.773
East Asia,1976,Waste for final treatment and disposal,-0.008467
East Asia,1976,Wild catch and harvest,13.040625
East Asia,1976,Wood,530.941636
East Asia,1977,Coal,696.529
East Asia,1977,Crop Residues,725.0853460000001
East Asia,1977,Crops,898.845885
East Asia,1977,Excavated earthen materials (including soil) nec,0
East Asia,1977,Ferrous ores,176.728439
East Asia,1977,Grazed biomass and fodder crops,669.370552
East Asia,1977,Mixed / complex products nec.,-2.107831
East Asia,1977,Natural Gas,22.492231
East Asia,1977,Non-ferrous ores,252.29196
East Asia,1977,Non-metallic minerals - construction dominant,2116.62863
East Asia,1977,Non-metallic minerals - industrial or agricultural dominant,66.96951
East Asia,1977,Non-wild animal products,2.581443
East Asia,1977,Other products mainly from fossil fuels e.g. plastics,-1.866236
East Asia,1977,Petroleum,427.76
East Asia,1977,Products mainly from biomass nec.,-2.321279
East Asia,1977,Products mainly from metals nec.,-12.243834999999999
East Asia,1977,Products mainly from non-metallic minerals,-7.501874999999999
East Asia,1977,Refined fossil fuels mainly for fuel e.g. LPG gasoline diesel,23.750999999999998
East Asia,1977,Waste for final treatment and disposal,0.037633999999999994
East Asia,1977,Wild catch and harvest,13.598718999999999
East Asia,1977,Wood,532.139134
East Asia,1978,Coal,758.5360000000001
East Asia,1978,Crop Residues,791.6139949999999
East Asia,1978,Crops,967.248877
East Asia,1978,Excavated earthen materials (including soil) nec,0
East Asia,1978,Ferrous ores,174.15874399999998
East Asia,1978,Grazed biomass and fodder crops,669.590055
East Asia,1978,Mixed / complex products nec.,-2.068326
East Asia,1978,Natural Gas,27.966624
East Asia,1978,Non-ferrous ores,259.614067
East Asia,1978,Non-metallic minerals - construction dominant,2342.473552
East Asia,1978,Non-metallic minerals - industrial or agricultural dominant,76.42806
East Asia,1978,Non-wild animal products,2.528304
East Asia,1978,Other products mainly from fossil fuels e.g. plastics,-1.596994
East Asia,1978,Petroleum,437.54
East Asia,1978,Products mainly from biomass nec.,-2.5113350000000003
East Asia,1978,Products mainly from metals nec.,-9.04815
East Asia,1978,Products mainly from non-metallic minerals,-6.478224
East Asia,1978,Refined fossil fuels mainly for fuel e.g. LPG gasoline diesel,19.268
East Asia,1978,Waste for final treatment and disposal,0.043751
East Asia,1978,Wild catch and harvest,13.770999
East Asia,1978,Wood,531.900023
East Asia,1979,Coal,787.459
East Asia,1979,Crop Residues,806.681159
East Asia,1979,Crops,987.578979
East Asia,1979,Excavated earthen materials (including soil) nec,0
East Asia,1979,Ferrous ores,198.151181
East Asia,1979,Grazed biomass and fodder crops,675.100637
East Asia,1979,Mixed / complex products nec.,-2.533028
East Asia,1979,Natural Gas,30.239501999999998
East Asia,1979,Non-ferrous ores,272.75073
East Asia,1979,Non-metallic minerals - construction dominant,2438.4155849999997
East Asia,1979,Non-metallic minerals - industrial or agricultural dominant,83.132342
East Asia,1979,Non-wild animal products,2.525613
East Asia,1979,Other products mainly from fossil fuels e.g. plastics,-0.8497319999999998
East Asia,1979,Petroleum,456.93899999999996
East Asia,1979,Products mainly from biomass nec.,-1.996669
East Asia,1979,Products mainly from metals nec.,-11.181908000000002
East Asia,1979,Products mainly from non-metallic minerals,-5.231891000000001
East Asia,1979,Refined fossil fuels mainly for fuel e.g. LPG gasoline diesel,24.23
East Asia,1979,Waste for final treatment and disposal,0.126888
East Asia,1979,Wild catch and harvest,13.776615
East Asia,1979,Wood,534.413095
East Asia,1980,Coal,787.149
East Asia,1980,Crop Residues,807.204033
East Asia,1980,Crops,984.4800349999999
East Asia,1980,Excavated earthen materials (including soil) nec,0
East Asia,1980,Ferrous ores,205.161847
East Asia,1980,Grazed biomass and fodder crops,683.451861
East Asia,1980,Mixed / complex products nec.,-3.177841
East Asia,1980,Natural Gas,33.461281
East Asia,1980,Non-ferrous ores,291.359279
East Asia,1980,Non-metallic minerals - construction dominant,2513.453075
East Asia,1980,Non-metallic minerals - industrial or agricultural dominant,87.97266400000001
East Asia,1980,Non-wild animal products,2.370886
East Asia,1980,Other products mainly from fossil fuels e.g. plastics,-1.5726959999999999
East Asia,1980,Petroleum,445.188192
East Asia,1980,Products mainly from biomass nec.,-1.9024199999999998
East Asia,1980,Products mainly from metals nec.,-12.086331
East Asia,1980,Products mainly from non-metallic minerals,-6.064279999999999
East Asia,1980,Refined fossil fuels mainly for fuel e.g. LPG gasoline diesel,21.838000000000005
East Asia,1980,Waste for final treatment and disposal,0.097395
East Asia,1980,Wild catch and harvest,14.035876
East Asia,1980,Wood,530.665345
East Asia,1981,Coal,805.15
East Asia,1981,Crop Residues,834.1721560000001
East Asia,1981,Crops,1024.887407
East Asia,1981,Excavated earthen materials (including soil) nec,0
East Asia,1981,Ferrous ores,196.14915399999998
East Asia,1981,Grazed biomass and fodder crops,693.6625809999999
East Asia,1981,Mixed / complex products nec.,-4.082129
East Asia,1981,Natural Gas,34.41451
East Asia,1981,Non-ferrous ores,302.823624
East Asia,1981,Non-metallic minerals - construction dominant,2535.007135
East Asia,1981,Non-metallic minerals - industrial or agricultural dominant,84.182725
East Asia,1981,Non-wild animal products,2.367022
East Asia,1981,Other products mainly from fossil fuels e.g. plastics,-1.283138
East Asia,1981,Petroleum,418.990481
East Asia,1981,Products mainly from biomass nec.,-2.200367
East Asia,1981,Products mainly from metals nec.,-17.856527
East Asia,1981,Products mainly from non-metallic minerals,-8.339614999999998
East Asia,1981,Refined fossil fuels mainly for fuel e.g. LPG gasoline diesel,16.266
East Asia,1981,Waste for final treatment and disposal,0.207394
East Asia,1981,Wild catch and harvest,15.563681
East Asia,1981,Wood,519.776493
East Asia,1982,Coal,856.58
East Asia,1982,Crop Residues,888.469153
East Asia,1982,Crops,1092.29591
East Asia,1982,Excavated earthen materials (including soil) nec,0
East Asia,1982,Ferrous ores,229.267294
East Asia,1982,Grazed biomass and fodder crops,710.156471
East Asia,1982,Mixed / complex products nec.,-3.6842829999999998
East Asia,1982,Natural Gas,34.904621
East Asia,1982,Non-ferrous ores,312.28743099999997
East Asia,1982,Non-metallic minerals - construction dominant,2605.456686
East Asia,1982,Non-metallic minerals - industrial or agricultural dominant,74.158657
East Asia,1982,Non-wild animal products,2.566673
East Asia,1982,Other products mainly from fossil fuels e.g. plastics,-1.1849230000000002
East Asia,1982,Petroleum,388.510288
East Asia,1982,Products mainly from biomass nec.,-2.1472830000000003
East Asia,1982,Products mainly from metals nec.,-15.164399
East Asia,1982,Products mainly from non-metallic minerals,-7.955706
East Asia,1982,Refined fossil fuels mainly for fuel e.g. LPG gasoline diesel,25.563
East Asia,1982,Waste for final treatment and disposal,0.170929
East Asia,1982,Wild catch and harvest,16.480999
East Asia,1982,Wood,520.564953
East Asia,1983,Coal,904.135
East Asia,1983,Crop Residues,945.200697
East Asia,1983,Crops,1139.1704849999999
East Asia,1983,Excavated earthen materials (including soil) nec,0
East Asia,1983,Ferrous ores,219.993756
East Asia,1983,Grazed biomass and fodder crops,740.892171
East Asia,1983,Mixed / complex products nec.,-4.450725
East Asia,1983,Natural Gas,38.401966
East Asia,1983,Non-ferrous ores,304.549886
East Asia,1983,Non-metallic minerals - construction dominant,2946.666219
East Asia,1983,Non-metallic minerals - industrial or agricultural dominant,76.880656
East Asia,1983,Non-wild animal products,2.598846
East Asia,1983,Other products mainly from fossil fuels e.g. plastics,-1.272624
East Asia,1983,Petroleum,397.672288
East Asia,1983,Products mainly from biomass nec.,-2.698993
East Asia,1983,Products mainly from metals nec.,-12.648655
East Asia,1983,Products mainly from non-metallic minerals,-5.467863000000001
East Asia,1983,Refined fossil fuels mainly for fuel e.g. LPG gasoline diesel,28.099
East Asia,1983,Waste for final treatment and disposal,0.190055
East Asia,1983,Wild catch and harvest,17.360747
East Asia,1983,Wood,521.399773
