year,material_category,DMC_Mt
1970,Coal,3003.86041
1970,Crop Residues,2579.8482989999998
1970,Crops,3318.792468
1970,Excavated earthen materials (including soil) nec,0
1970,Ferrous ores,727.694973
1970,Grazed biomass and fodder crops,5069.903651
1970,Mixed / complex products nec.,-0.511799
1970,Natural Gas,655.87108
1970,Non-ferrous ores,1903.7900789999999
1970,Non-metallic minerals - construction dominant,8940.016934
1970,Non-metallic minerals - industrial or agricultural dominant,645.512146
1970,Non-wild animal products,-0.5059169999999997
1970,Oil shale and tar sands,48.127375
1970,Other products mainly from fossil fuels e.g. plastics,-0.841678
1970,Petroleum,1764.6331
1970,Products mainly from biomass nec.,0.703992
1970,Products mainly from metals nec.,-2.40768
1970,Products mainly from non-metallic minerals,-0.6105859999999996
1970,Refined fossil fuels mainly for fuel e.g. LPG gasoline diesel,-10.370700000000006
1970,Waste for final treatment and disposal,0.602017
1970,Wild catch and harvest,47.02804
1970,Wood,1729.884522
1971,Coal,2968.038448
1971,Crop Residues,2656.46174
1971,Crops,3395.464567
1971,Excavated earthen materials (including soil) nec,0
1971,Ferrous ores,733.679133
1971,Grazed biomass and fodder crops,5140.414428
1971,Mixed / complex products nec.,-0.1902490000000001
1971,Natural Gas,702.403199
1971,Non-ferrous ores,1914.8091570000001
1971,Non-metallic minerals - construction dominant,9522.240908
1971,Non-metallic minerals - industrial or agricultural dominant,663.66464
1971,Non-wild animal products,-0.38611900000000005
1971,Oil shale and tar sands,56.745670000000004
1971,Other products mainly from fossil fuels e.g. plastics,-1.2869439999999996
1971,Petroleum,1865.858
1971,Products mainly from biomass nec.,0.29512600000000005
1971,Products mainly from metals nec.,-0.7651019999999997
1971,Products mainly from non-metallic minerals,0.33931700000000076
1971,Refined fossil fuels mainly for fuel e.g. LPG gasoline diesel,-13.943699999999996
1971,Waste for final treatment and disposal,0.582048
1971,Wild catch and harvest,46.220867
1971,Wood,1747.444453
1972,Coal,3024.274831
1972,Crop Residues,2570.462903
1972,Crops,3332.094034
1972,Excavated earthen materials (including soil) nec,0
1972,Ferrous ores,731.13846
