Region,year,population
East Asia,2025,2434735004
East Asia,2026,2436895220
East Asia,2027,2438955257
East Asia,2028,2440544334
East Asia,2029,2441582579
East Asia,2030,2442132731
East Asia,2031,2442259466
East Asia,2032,2441899286
East Asia,2033,2441123222
East Asia,2034,2439889623
East Asia,2035,2438270288
East Asia,2036,2436218509
East Asia,2037,2433768371
East Asia,2038,2430968239
East Asia,2039,2427792912
East Asia,2040,2424188269
East Asia,2041,2420135651
East Asia,2042,2415616778
East Asia,2043,2410675303
East Asia,2044,2405305045
East Asia,2045,2399417103
East Asia,2046,2392927276
East Asia,2047,2385778083
East Asia,2048,2377970308
East Asia,2049,2369474414
East Asia,2050,2360200781
East Asia,2051,2350240584
East Asia,2052,2339469380
East Asia,2053,2327922641
East Asia,2054,2315736841
East Asia,2055,2302848004
East Asia,2056,2289342575
East Asia,2057,2275278528
East Asia,2058,2260751729
East Asia,2059,2245788585
East Asia,2060,2230484431
East Asia,2061,2214909626
East Asia,2062,2199177320
East Asia,2063,2183331564
East Asia,2064,2167479608
East Asia,2065,2151565424
East Asia,2066,2135669566
East Asia,2067,2119834008
East Asia,2068,2104034654
East Asia,2069,2088329887
East Asia,2070,2072699899
East Asia,2071,2057113918
East Asia,2072,2041596062
East Asia,2073,2026038723
East Asia,2074,2010442691
East Asia,2075,1994858278
East Asia,2076,1979216267
East Asia,2077,1963536233
East Asia,2078,1947729116
East Asia,2079,1931845338
East Asia,2080,1915828135
East Asia,2081,1899734755
East Asia,2082,1883611471
East Asia,2083,1867474995
East Asia,2084,1851355945
East Asia,2085,1835222500
East Asia,2086,1819161629
East Asia,2087,1803201375
East Asia,2088,1787346242
East Asia,2089,1771620291
East Asia,2090,1756005304
East Asia,2091,1740538489
East Asia,2092,1725214007
East Asia,2093,1709997406
East Asia,2094,1694888656
East Asia,2095,1679892038
East Asia,2096,1664979721
East Asia,2097,1650121123
East Asia,2098,1635346746
East Asia,2099,1620633170
East Asia,2100,1605987644
Europe & Russia,2025,831852193
Europe & Russia,2026,831314900
Europe & Russia,2027,830537378
Europe & Russia,2028,829668337
Europe & Russia,2029,828697551
Europe & Russia,2030,827605328
Europe & Russia,2031,826441896
Europe & Russia,2032,825137070
Europe & Russia,2033,823824607
Europe & Russia,2034,822478617
Europe & Russia,2035,821087196
Europe & Russia,2036,819654098
Europe & Russia,2037,818174647
Europe & Russia,2038,816661073
Europe & Russia,2039,815121481
Europe & Russia,2040,813519047
Europe & Russia,2041,811927415
Europe & Russia,2042,810326825
Europe & Russia,2043,808704689
Europe & Russia,2044,806987029
Europe & Russia,2045,805223238
Europe & Russia,2046,803392256
Europe & Russia,2047,801516770
Europe & Russia,2048,799510940
Europe & Russia,2049,797396971
Europe & Russia,2050,795136158
Europe & Russia,2051,792772503
Europe & Russia,2052,790294677
Europe & Russia,2053,787716573
Europe & Russia,2054,784940027
Europe & Russia,2055,782073434
Europe & Russia,2056,779070036
Europe & Russia,2057,775984776
Europe & Russia,2058,772847950
Europe & Russia,2059,769652122
Europe & Russia,2060,766392131
Europe & Russia,2061,763148259
Europe & Russia,2062,759872027
Europe & Russia,2063,756592593
Europe & Russia,2064,753318942
Europe & Russia,2065,750054387
