year,population
2025,8194385546
2026,8263648982
2027,8332510927
2028,8400469957
2029,8467544635
2030,8533785847
2031,8599206347
2032,8663755976
2033,8727407737
2034,8790174895
2035,8852060721
2036,8913007636
2037,8972995619
2038,9031922332
2039,9089821284
2040,9146619401
2041,9202331347
2042,9256790447
2043,9309978914
2044,9361883332
2045,9412396728
2046,9461410734
2047,9508894273
2048,9554722527
2049,9598875713
2050,9641301490
2051,9681988663
2052,9720934858
2053,9758139732
2054,9793642899
2055,9827423328
2056,9859624798
2057,9890321154
2058,9919552182
2059,9947389691
2060,9973911896
2061,9999195133
2062,10023295452
2063,10046311560
2064,10068279145
2065,10089234638
2066,10109191071
2067,10128188197
2068,10146191855
2069,10163194761
2070,10179172916
2071,10194134999
2072,10208072851
2073,10220903984
2074,10232640755
2075,10243241730
2076,10252686722
2077,10260974604
2078,10268097439
2079,10274020836
2080,10278783668
2081,10282426851
2082,10284976106
2083,10286538562
2084,10287086527
2085,10286701093
2086,10285396011
2087,10283231500
2088,10280229084
2089,10276445270
2090,10271884538
2091,10266567259
2092,10260506289
2093,10253688835
2094,10246087580
2095,10237720028
2096,10228552373
2097,10218643708
2098,10207977989
2099,10196553638
2100,10184405170
