year,population
1970,3655196478
1971,3731133242
1972,3805458009
1973,3881211522
1974,3957169976
1975,4032367485
1976,4105754057
1977,4179316278
1978,4252880550
1979,4327669842
1980,4405646157
1981,4485685297
1982,4567882661
1983,4653384227
1984,4737099453
1985,4822986134
1986,4910537792
1987,5001142834
1988,5093776359
1989,5185538627
1990,5278575668
1991,5372205619
1992,5460360654
1993,5546630293
1994,5631391341
1995,5714565144
1996,5797964696
1997,5880830967
1998,5963343598
1999,6045596796
2000,6127608296
2001,6211097278
2002,6294008077
2003,6376632948
2004,6459243143
2005,6542638853
2006,6626402824
2007,6711578322
2008,6798092857
2009,6885853638
2010,6974687515
2011,7063760879
2012,7153027610
2013,7244252239
2014,7334151637
2015,7423880606
2016,7511934276
2017,7600013189
2018,7686020703
2019,7768556664
2020,7848803125
2021,7919958677
2022,7983699151
2023,8053901320
2024,8124367320
