Region,material,super_category,sub_use,cohort_year,surviving_stock_Mt,cohort_age,is_ghost
East Asia,Metal_Fe,buildings,non_residential,1970,6.775085177911802,54,FALSE
East Asia,Metal_Fe,buildings,non_residential,1971,7.055992216972354,53,FALSE
East Asia,Metal_Fe,buildings,non_residential,1972,7.918071413579893,52,FALSE
East Asia,Metal_Fe,buildings,non_residential,1973,8.920583274814367,51,FALSE
East Asia,Metal_Fe,buildings,non_residential,1974,8.904999410837844,50,FALSE
East Asia,Metal_Fe,buildings,non_residential,1975,8.042518811022072,49,FALSE
East Asia,Metal_Fe,buildings,non_residential,1976,7.958708742800899,48,FALSE
East Asia,Metal_Fe,buildings,non_residential,1977,8.697171055608548,47,FALSE
East Asia,Metal_Fe,buildings,non_residential,1978,9.873143823358715,46,FALSE
East Asia,Metal_Fe,buildings,non_residential,1979,11.092596053452612,45,FALSE
East Asia,Metal_Fe,buildings,non_residential,1980,10.817671620952213,44,FALSE
East Asia,Metal_Fe,buildings,non_residential,1981,10.86167342512352,43,FALSE
East Asia,Metal_Fe,buildings,non_residential,1982,11.547121741561222,42,FALSE
East Asia,Metal_Fe,buildings,non_residential,1983,12.5229804648454,41,FALSE
East Asia,Metal_Fe,buildings,non_residential,1984,13.954924889468092,40,FALSE
East Asia,Metal_Fe,buildings,non_residential,1985,14.97348056691433,39,FALSE
East Asia,Metal_Fe,buildings,non_residential,1986,14.805003660384676,38,FALSE
East Asia,Metal_Fe,buildings,non_residential,1987,16.723983719769233,37,FALSE
East Asia,Metal_Fe,buildings,non_residential,1988,19.275801604469724,36,FALSE
East Asia,Metal_Fe,buildings,non_residential,1989,19.918925322032777,35,FALSE
East Asia,Metal_Fe,buildings,non_residential,1990,21.522999314426325,34,FALSE
East Asia,Metal_Fe,buildings,non_residential,1991,21.271974357934564,33,FALSE
East Asia,Metal_Fe,buildings,non_residential,1992,24.11828772795631,32,FALSE
East Asia,Metal_Fe,buildings,non_residential,1993,27.44601907361224,31,FALSE
East Asia,Metal_Fe,buildings,non_residential,1994,26.891263901114232,30,FALSE
East Asia,Metal_Fe,buildings,non_residential,1995,15.966442229186795,29,FALSE
East Asia,Metal_Fe,buildings,non_residential,1996,17.28963404436897,28,FALSE
East Asia,Metal_Fe,buildings,non_residential,1997,18.335464816465755,27,FALSE
East Asia,Metal_Fe,buildings,non_residential,1998,13.714720143609732,26,FALSE
East Asia,Metal_Fe,buildings,non_residential,1999,14.456643053508223,25,FALSE
East Asia,Metal_Fe,buildings,non_residential,2000,14.338612695513097,24,FALSE
East Asia,Metal_Fe,buildings,non_residential,2001,15.276490948564575,23,FALSE
East Asia,Metal_Fe,buildings,non_residential,2002,17.232752040814702,22,FALSE
East Asia,Metal_Fe,buildings,non_residential,2003,19.152912841378544,21,FALSE
East Asia,Metal_Fe,buildings,non_residential,2004,20.581723846616843,20,FALSE
East Asia,Metal_Fe,buildings,non_residential,2005,23.770851494034165,19,FALSE
East Asia,Metal_Fe,buildings,non_residential,2006,24.67032362287994,18,FALSE
